,LOCATION,PISASCIENCE,PISAMATH,PISAREADING,EDUPUBEXP,EDUPRIVATEEXP,STUDPERTEACHER,TEACHINGHR,INSTRUCTTIME,GDP,TAXREV
0,AUS,503,491,503,19954.495,19954.495,14.926,844.3530825,11000,1323863.624,401.232
1,AUT,490,499,484,26488.46,26488.46,11.073,658.2,6420,503361.417,192.155
2,BEL,499,508,493,13297.55,13297.55,11.0835,NA,NA,600269.926,238.347
3,CAN,518,512,520,11771.41,11771.41,16.691,762.3058767,8289.23755,1849252.231,576.768
4,CZE,497,499,490,16024.522,16024.522,14.72266667,789.0625,7056,437355.916,87.088
5,DNK,493,509,501,27009.35,27009.35,10.285,489,10960,333035.355,157.662
6,FIN,522,507,520,24752.36,24752.36,13.6765,606.3626667,6327,273455.993,116.789
7,FRA,493,495,493,20345.769,20345.769,18.48633333,792,8104,3125379.86,1279.601
8,DEU,503,500,498,26327.93,26327.93,11.879,1003.777948,7422.62598,4576056.532,1527.481
9,GRC,452,451,457,6934.768,6934.768,8.926,686.535,6887.96411,317881.481,84.845
10,HUN,481,481,476,14596.954,14596.954,11.33733333,811.5,5940,311925.167,59.069
11,ISL,475,495,474,33409.57,33409.57,7.612,834.9175275,7616,20177.371,9.577
12,IRL,496,500,518,18774.071,18774.071,9.732,785.6666667,8231.97852,412301.576,86.017
13,ITA,468,487,476,21271.47,21271.47,11.44433333,730.475,7425,2600326.872,872.385
14,JPN,529,527,504,17947.918,17947.918,14.17266667,619.91114,7255.63233,5340832.208,1594.73
15,KOR,519,526,514,13969.46,13969.46,12.59,634.286725,6452.5,2220442.286,460.42
16,LUX,477,483,470,41918.28,41918.28,10.209,792,8079,70825.278,27.972
17,MEX,419,409,420,5559.003,5559.003,25.866,792.95,8300,2535949.668,198.032
18,NLD,503,519,485,22882.59,22882.59,16.48866667,840,8640,996447.288,354.407
19,NZL,508,494,506,7830.324,7830.324,12.06433333,840.6666667,NA,208377.269,67.373
20,NOR,490,501,499,37309.94,37309.94,10.238,642.2,7894,370815.982,171.988
21,POL,511,516,512,15905.197,15905.197,11.58166667,650.375,6194.69995,1216240.494,206.453
22,PRT,492,492,492,10011.59,10011.59,10.8155,714.666665,7679.25,359198.932,83.921
23,SVK,464,486,458,13511.454,13511.454,14.07333333,787.375,6824.40015,170864.165,36.064
24,ESP,483,481,496,17321.454,17321.454,12.42433333,791.3375,7911.14087,1905450.021,492.227
25,SWE,499,502,506,28921.41,28921.41,10.62233333,NA,6890.00025,544594.071,243.205
26,CHE,495,515,484,6256.05,NA,15.10966667,727.425,7580,601868.008,197.199
27,TUR,468,454,466,4709.449,4709.449,15.634,702,6251.04004,2302309.895,186.27
28,GBR,505,502,504,18574.413,18574.413,18.4865,NA,NA,3137072.362,939.473
29,USA,502,478,505,14008.98,14008.98,15.178,986.77926,8883.61792,20533058,5109.964
30,BRA,404,384,413,NA,NA,21.731,800,0,3145953.19,NA
31,CHL,444,417,452,14632.636,14632.636,20.75033333,1063.47314,8388,478093.911,62.806
32,EST,530,523,523,17316.636,17316.636,11.41333333,768.6,6431.25,48133.366,10.069
33,IDN,396,379,371,NA,NA,NA,NA,NA,3116594.552,NA
34,ISR,462,463,470,14738.282,14738.282,15.731,797.6857975,8706.09106,357372.009,114.946
35,LVA,487,496,479,13138.585,13138.585,10.137,851.825,5976.57324,59505.492,10.712
36,RUS,478,488,479,5733.623,5733.623,NA,509,NA,4231840.387,NA
37,SVN,507,509,495,19336.635,19336.635,13.594,784.5,6388.89502,80823.475,20.174
38,COL,413,391,412,3397.583,3397.583,24.6065,836.6,9800,747103.675,64.384
39,CRI,416,402,426,8729.487,NA,12.38766667,1133.55,10240,106583.345,14.455
40,LTU,482,481,476,14437.792,14437.792,9.755666667,637.9,7079.60913,101910.429,16.228
41,OAVG,489,489,487,20445.14,20445.14,13.382,909.173955,7656.06079,1748119.587,430.855